Evaluation over 1000 episodes
Success rate: 73.20%
Average episode length: 43.93 steps

Episode 1: steps=46, success=True
Episode 2: steps=19, success=True
Episode 3: steps=24, success=False
Episode 4: steps=8, success=True
Episode 5: steps=48, success=False
Episode 6: steps=56, success=True
Episode 7: steps=95, success=True
Episode 8: steps=36, success=True
Episode 9: steps=20, success=True
Episode 10: steps=71, success=True
Episode 11: steps=43, success=True
Episode 12: steps=29, success=True
Episode 13: steps=100, success=False
Episode 14: steps=22, success=True
Episode 15: steps=100, success=False
Episode 16: steps=100, success=False
Episode 17: steps=34, success=True
Episode 18: steps=19, success=True
Episode 19: steps=11, success=True
Episode 20: steps=49, success=True
Episode 21: steps=30, success=True
Episode 22: steps=22, success=True
Episode 23: steps=87, success=False
Episode 24: steps=12, success=False
Episode 25: steps=25, success=True
Episode 26: steps=44, success=False
Episode 27: steps=35, success=True
Episode 28: steps=21, success=False
Episode 29: steps=25, success=True
Episode 30: steps=55, success=True
Episode 31: steps=100, success=False
Episode 32: steps=73, success=True
Episode 33: steps=100, success=False
Episode 34: steps=42, success=True
Episode 35: steps=47, success=True
Episode 36: steps=60, success=True
Episode 37: steps=11, success=True
Episode 38: steps=100, success=False
Episode 39: steps=55, success=False
Episode 40: steps=20, success=True
Episode 41: steps=59, success=True
Episode 42: steps=27, success=True
Episode 43: steps=88, success=True
Episode 44: steps=65, success=False
Episode 45: steps=66, success=True
Episode 46: steps=49, success=False
Episode 47: steps=100, success=False
Episode 48: steps=13, success=True
Episode 49: steps=100, success=False
Episode 50: steps=32, success=True
Episode 51: steps=39, success=True
Episode 52: steps=66, success=False
Episode 53: steps=61, success=True
Episode 54: steps=100, success=False
Episode 55: steps=33, success=True
Episode 56: steps=8, success=True
Episode 57: steps=49, success=True
Episode 58: steps=99, success=True
Episode 59: steps=99, success=True
Episode 60: steps=20, success=True
Episode 61: steps=70, success=True
Episode 62: steps=69, success=False
Episode 63: steps=21, success=True
Episode 64: steps=51, success=True
Episode 65: steps=100, success=False
Episode 66: steps=12, success=False
Episode 67: steps=69, success=True
Episode 68: steps=37, success=True
Episode 69: steps=18, success=True
Episode 70: steps=36, success=True
Episode 71: steps=13, success=False
Episode 72: steps=100, success=False
Episode 73: steps=59, success=False
Episode 74: steps=40, success=True
Episode 75: steps=91, success=True
Episode 76: steps=17, success=True
Episode 77: steps=81, success=True
Episode 78: steps=13, success=True
Episode 79: steps=27, success=True
Episode 80: steps=31, success=False
Episode 81: steps=35, success=True
Episode 82: steps=55, success=True
Episode 83: steps=16, success=True
Episode 84: steps=100, success=False
Episode 85: steps=44, success=False
Episode 86: steps=98, success=True
Episode 87: steps=27, success=True
Episode 88: steps=63, success=True
Episode 89: steps=59, success=True
Episode 90: steps=30, success=True
Episode 91: steps=26, success=True
Episode 92: steps=7, success=True
Episode 93: steps=11, success=False
Episode 94: steps=17, success=True
Episode 95: steps=30, success=True
Episode 96: steps=20, success=True
Episode 97: steps=12, success=True
Episode 98: steps=54, success=True
Episode 99: steps=30, success=False
Episode 100: steps=74, success=True
Episode 101: steps=25, success=True
Episode 102: steps=36, success=False
Episode 103: steps=11, success=True
Episode 104: steps=12, success=True
Episode 105: steps=16, success=True
Episode 106: steps=42, success=True
Episode 107: steps=21, success=True
Episode 108: steps=100, success=False
Episode 109: steps=20, success=True
Episode 110: steps=16, success=True
Episode 111: steps=16, success=True
Episode 112: steps=54, success=True
Episode 113: steps=56, success=True
Episode 114: steps=100, success=False
Episode 115: steps=28, success=False
Episode 116: steps=28, success=True
Episode 117: steps=43, success=True
Episode 118: steps=29, success=True
Episode 119: steps=100, success=False
Episode 120: steps=23, success=True
Episode 121: steps=64, success=False
Episode 122: steps=21, success=False
Episode 123: steps=63, success=True
Episode 124: steps=35, success=True
Episode 125: steps=100, success=False
Episode 126: steps=86, success=True
Episode 127: steps=100, success=False
Episode 128: steps=80, success=True
Episode 129: steps=45, success=True
Episode 130: steps=32, success=True
Episode 131: steps=43, success=True
Episode 132: steps=92, success=True
Episode 133: steps=32, success=True
Episode 134: steps=7, success=True
Episode 135: steps=70, success=True
Episode 136: steps=12, success=True
Episode 137: steps=58, success=True
Episode 138: steps=100, success=False
Episode 139: steps=15, success=True
Episode 140: steps=45, success=True
Episode 141: steps=16, success=True
Episode 142: steps=28, success=True
Episode 143: steps=26, success=True
Episode 144: steps=87, success=True
Episode 145: steps=36, success=True
Episode 146: steps=100, success=False
Episode 147: steps=19, success=True
Episode 148: steps=15, success=True
Episode 149: steps=14, success=True
Episode 150: steps=21, success=True
Episode 151: steps=22, success=True
Episode 152: steps=13, success=True
Episode 153: steps=25, success=True
Episode 154: steps=21, success=True
Episode 155: steps=26, success=True
Episode 156: steps=56, success=False
Episode 157: steps=20, success=True
Episode 158: steps=100, success=False
Episode 159: steps=14, success=False
Episode 160: steps=26, success=False
Episode 161: steps=56, success=True
Episode 162: steps=9, success=True
Episode 163: steps=34, success=True
Episode 164: steps=55, success=False
Episode 165: steps=89, success=True
Episode 166: steps=7, success=True
Episode 167: steps=53, success=True
Episode 168: steps=49, success=True
Episode 169: steps=25, success=True
Episode 170: steps=93, success=True
Episode 171: steps=17, success=True
Episode 172: steps=26, success=True
Episode 173: steps=67, success=True
Episode 174: steps=20, success=True
Episode 175: steps=27, success=True
Episode 176: steps=35, success=True
Episode 177: steps=15, success=True
Episode 178: steps=49, success=True
Episode 179: steps=100, success=False
Episode 180: steps=32, success=True
Episode 181: steps=36, success=True
Episode 182: steps=10, success=True
Episode 183: steps=100, success=False
Episode 184: steps=34, success=True
Episode 185: steps=20, success=True
Episode 186: steps=100, success=False
Episode 187: steps=25, success=True
Episode 188: steps=9, success=True
Episode 189: steps=16, success=True
Episode 190: steps=41, success=True
Episode 191: steps=39, success=True
Episode 192: steps=54, success=True
Episode 193: steps=38, success=True
Episode 194: steps=25, success=False
Episode 195: steps=41, success=True
Episode 196: steps=47, success=True
Episode 197: steps=16, success=True
Episode 198: steps=100, success=False
Episode 199: steps=23, success=True
Episode 200: steps=45, success=True
Episode 201: steps=81, success=True
Episode 202: steps=17, success=True
Episode 203: steps=67, success=True
Episode 204: steps=9, success=True
Episode 205: steps=12, success=True
Episode 206: steps=26, success=False
Episode 207: steps=81, success=True
Episode 208: steps=38, success=True
Episode 209: steps=21, success=True
Episode 210: steps=100, success=False
Episode 211: steps=35, success=True
Episode 212: steps=100, success=False
Episode 213: steps=36, success=True
Episode 214: steps=45, success=True
Episode 215: steps=38, success=False
Episode 216: steps=26, success=False
Episode 217: steps=27, success=False
Episode 218: steps=82, success=True
Episode 219: steps=50, success=True
Episode 220: steps=36, success=True
Episode 221: steps=23, success=True
Episode 222: steps=31, success=False
Episode 223: steps=21, success=True
Episode 224: steps=33, success=False
Episode 225: steps=28, success=True
Episode 226: steps=12, success=False
Episode 227: steps=26, success=True
Episode 228: steps=54, success=False
Episode 229: steps=100, success=False
Episode 230: steps=48, success=True
Episode 231: steps=7, success=True
Episode 232: steps=37, success=True
Episode 233: steps=100, success=False
Episode 234: steps=26, success=True
Episode 235: steps=31, success=True
Episode 236: steps=100, success=False
Episode 237: steps=16, success=False
Episode 238: steps=19, success=True
Episode 239: steps=37, success=True
Episode 240: steps=28, success=True
Episode 241: steps=62, success=True
Episode 242: steps=39, success=True
Episode 243: steps=28, success=True
Episode 244: steps=10, success=True
Episode 245: steps=20, success=True
Episode 246: steps=50, success=True
Episode 247: steps=34, success=True
Episode 248: steps=65, success=True
Episode 249: steps=19, success=True
Episode 250: steps=19, success=True
Episode 251: steps=23, success=False
Episode 252: steps=75, success=False
Episode 253: steps=100, success=False
Episode 254: steps=58, success=True
Episode 255: steps=34, success=True
Episode 256: steps=26, success=True
Episode 257: steps=16, success=True
Episode 258: steps=33, success=True
Episode 259: steps=12, success=True
Episode 260: steps=13, success=True
Episode 261: steps=95, success=True
Episode 262: steps=39, success=True
Episode 263: steps=11, success=False
Episode 264: steps=53, success=True
Episode 265: steps=75, success=False
Episode 266: steps=23, success=True
Episode 267: steps=43, success=True
Episode 268: steps=63, success=True
Episode 269: steps=9, success=True
Episode 270: steps=13, success=True
Episode 271: steps=16, success=False
Episode 272: steps=24, success=True
Episode 273: steps=49, success=True
Episode 274: steps=60, success=True
Episode 275: steps=6, success=False
Episode 276: steps=10, success=False
Episode 277: steps=7, success=True
Episode 278: steps=79, success=False
Episode 279: steps=14, success=True
Episode 280: steps=19, success=True
Episode 281: steps=15, success=True
Episode 282: steps=19, success=True
Episode 283: steps=12, success=True
Episode 284: steps=14, success=True
Episode 285: steps=43, success=True
Episode 286: steps=12, success=True
Episode 287: steps=41, success=False
Episode 288: steps=100, success=False
Episode 289: steps=15, success=True
Episode 290: steps=14, success=True
Episode 291: steps=21, success=True
Episode 292: steps=86, success=True
Episode 293: steps=45, success=True
Episode 294: steps=21, success=True
Episode 295: steps=65, success=True
Episode 296: steps=100, success=False
Episode 297: steps=18, success=True
Episode 298: steps=18, success=True
Episode 299: steps=100, success=False
Episode 300: steps=100, success=False
Episode 301: steps=21, success=True
Episode 302: steps=35, success=False
Episode 303: steps=100, success=False
Episode 304: steps=17, success=True
Episode 305: steps=18, success=True
Episode 306: steps=49, success=True
Episode 307: steps=14, success=True
Episode 308: steps=59, success=True
Episode 309: steps=8, success=True
Episode 310: steps=77, success=True
Episode 311: steps=97, success=True
Episode 312: steps=32, success=True
Episode 313: steps=39, success=True
Episode 314: steps=37, success=True
Episode 315: steps=16, success=True
Episode 316: steps=31, success=True
Episode 317: steps=50, success=True
Episode 318: steps=48, success=True
Episode 319: steps=10, success=True
Episode 320: steps=15, success=True
Episode 321: steps=14, success=True
Episode 322: steps=71, success=True
Episode 323: steps=6, success=True
Episode 324: steps=14, success=True
Episode 325: steps=16, success=True
